title,rating,quote,info
肖申克的救赎,9.7,,1994 / 美国 / 犯罪 剧情
霸王别姬,9.6,,1993 / 中国大陆 中国香港 / 剧情 爱情 同性
泰坦尼克号,9.5,,1997 / 美国 墨西哥 / 剧情 爱情 灾难
阿甘正传,9.5,,1994 / 美国 / 剧情 爱情
千与千寻,9.4,,2001 / 日本 / 剧情 动画 奇幻
美丽人生,9.5,,1997 / 意大利 / 剧情 喜剧 爱情 战争
这个杀手不太冷,9.4,,1994 / 法国 美国 / 剧情 动作 犯罪
星际穿越,9.4,,2014 / 美国 英国 加拿大 / 剧情 科幻 冒险
盗梦空间,9.4,,2010 / 美国 英国 / 剧情 科幻 悬疑 冒险
楚门的世界,9.4,,1998 / 美国 / 剧情 科幻
辛德勒的名单,9.5,,1993 / 美国 / 剧情 历史 战争
忠犬八公的故事,9.4,,2009 / 美国 英国 / 剧情
海上钢琴师,9.3,,1998 / 意大利 / 剧情 音乐
三傻大闹宝莱坞,9.2,,2009 / 印度 / 剧情 喜剧 爱情 歌舞
疯狂动物城,9.2,,2016 / 美国 / 喜剧 动画 冒险
放牛班的春天,9.3,,2004 / 法国 瑞士 德国 / 剧情 音乐
机器人总动员,9.3,,2008 / 美国 / 科幻 动画 冒险
无间道,9.3,,2002 / 中国香港 / 剧情 犯罪 惊悚
控方证人,9.6,,1957 / 美国 / 剧情 犯罪 悬疑 惊悚
大话西游之大圣娶亲,9.2,,1995 / 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装
熔炉,9.3,,2011 / 韩国 / 剧情
触不可及,9.3,,2011 / 法国 / 剧情 喜剧
教父,9.3,,1972 / 美国 / 剧情 犯罪
寻梦环游记,9.1,,2017 / 美国 / 喜剧 动画 奇幻 音乐
当幸福来敲门,9.1,,2006 / 美国 / 剧情 传记 家庭
末代皇帝,9.3,,1987 / 英国 意大利 中国大陆 法国 / 剧情 传记 历史
哈利·波特与魔法石,9.2,,2001 / 美国 英国 / 奇幻 冒险
龙猫,9.2,,1988 / 日本 / 动画 奇幻 冒险
怦然心动,9.1,,2010 / 美国 / 剧情 喜剧 爱情
活着,9.3,,1994 / 中国大陆 中国香港 / 剧情 历史 家庭
蝙蝠侠：黑暗骑士,9.2,,2008 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚
指环王3：王者无敌,9.3,,2003 / 美国 新西兰 / 剧情 动作 奇幻 冒险
我不是药神,9.0,,2018 / 中国大陆 / 剧情 喜剧
乱世佳人,9.3,,1939 / 美国 / 剧情 历史 爱情 战争
飞屋环游记,9.1,,2009 / 美国 / 剧情 喜剧 动画 冒险
让子弹飞,9.0,,2010 / 中国大陆 中国香港 / 剧情 喜剧 动作 西部
哈尔的移动城堡,9.1,,2004 / 日本 / 爱情 动画 奇幻 冒险
素媛,9.3,,2013 / 韩国 / 剧情
